Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,Region,State,Category,Product,Quantity,Unit Price,Discount (%),Sales,Profit,Payment Mode,Sales Person,Year,Month,Quarter,DayOfWeek,Profit Margin
11,CUST1021,Customer_179,Corporate,2024-12-31,03-01-2025,Same Day,North,Haryana,Electronics,Headphones,7,354,5.0,2354.1,438.86,Net Banking,SalesPerson_20,2024,12,4,Tuesday,18.64236863344803
12,CUST1107,Customer_280,Home Office,2024-05-28,04-06-2024,Express,North,Delhi,Office Supplies,Printer Paper,9,2208,5.0,18878.4,2889.74,Debit Card,SalesPerson_37,2024,5,2,Tuesday,15.307123485041101
13,CUST1512,Customer_42,Consumer,2023-11-28,29-11-2023,Same Day,East,Assam,Electronics,Mobile,6,1183,15.0,6033.3,379.54,Debit Card,SalesPerson_49,2023,11,4,Tuesday,6.290752987585567
14,CUST1550,Customer_69,Home Office,2022-02-05,07-02-2022,Standard,East,Assam,Electronics,Laptop,10,1398,15.0,13980.0,2129.76,Net Banking,SalesPerson_32,2022,2,1,Saturday,15.234334763948498
15,CUST1947,Customer_65,Home Office,2024-03-26,02-04-2024,Same Day,North,Punjab,Office Supplies,Binder,6,1721,5.0,9809.7,2963.53,Credit Card,SalesPerson_39,2024,3,1,Tuesday,30.210200108056313
16,CUST1221,Customer_395,Corporate,2024-10-09,12-10-2024,Express,North,Haryana,Electronics,Tablet,8,1582,15.0,10757.6,1556.11,Debit Card,SalesPerson_12,2024,10,4,Wednesday,14.465215289655683
17,CUST1943,Customer_152,Consumer,2024-02-23,01-03-2024,Express,North,Punjab,Furniture,Sofa,3,2389,15.0,6091.95,978.09,Cash,SalesPerson_39,2024,2,1,Friday,16.055450225297317
18,CUST1986,Customer_362,Corporate,2023-10-22,23-10-2023,Standard,West,Maharashtra,Office Supplies,Binder,5,540,15.0,2295.0,509.63,Net Banking,SalesPerson_18,2023,10,4,Sunday,22.206100217864925
19,CUST1049,Customer_94,Consumer,2024-06-18,23-06-2024,Standard,East,West Bengal,Office Supplies,Binder,9,2455,10.0,19885.5,3005.76,Net Banking,SalesPerson_43,2024,6,2,Tuesday,15.115335294561365
20,CUST1378,Customer_457,Consumer,2024-10-13,19-10-2024,Same Day,South,Tamil Nadu,Office Supplies,Pen,8,2319,5.0,17624.4,2604.05,Credit Card,SalesPerson_30,2024,10,4,Sunday,14.775254760445748
21,CUST1064,Customer_447,Corporate,2024-10-29,03-11-2024,Express,East,Assam,Office Supplies,Pen,6,1683,5.0,9593.1,2459.64,Debit Card,SalesPerson_27,2024,10,4,Tuesday,25.639678518935483
22,CUST1169,Customer_392,Home Office,2024-01-03,07-01-2024,Same Day,North,Haryana,Electronics,Headphones,3,911,0.0,2733.0,357.57,Debit Card,SalesPerson_20,2024,1,1,Wednesday,13.083424807903402
23,CUST1533,Customer_482,Consumer,2024-10-20,27-10-2024,Same Day,West,Maharashtra,Furniture,Chair,2,1913,10.0,3443.4,1006.2,Net Banking,SalesPerson_27,2024,10,4,Sunday,29.22111866178777
24,CUST1199,Customer_476,Consumer,2024-07-07,08-07-2024,Standard,North,Haryana,Furniture,Table,9,1560,5.0,13338.0,2640.47,Credit Card,SalesPerson_16,2024,7,3,Sunday,19.796596191333034
25,CUST1964,Customer_127,Home Office,2023-03-03,04-03-2023,Express,West,Maharashtra,Electronics,Headphones,6,2340,0.0,14040.0,878.24,UPI,SalesPerson_12,2023,3,1,Friday,6.255270655270655
26,CUST1804,Customer_79,Corporate,2023-09-15,16-09-2023,Standard,East,Assam,Office Supplies,Printer Paper,4,2211,0.0,8844.0,2428.55,Net Banking,SalesPerson_15,2023,9,3,Friday,27.45985979194935
27,CUST1293,Customer_72,Corporate,2024-11-11,17-11-2024,Same Day,West,Gujarat,Office Supplies,Notebook,7,415,15.0,2469.25,766.78,Credit Card,SalesPerson_9,2024,11,4,Monday,31.053153791637133
28,CUST1218,Customer_200,Consumer,2022-09-07,11-09-2022,Standard,East,Assam,Office Supplies,Pen,8,2233,10.0,16077.6,2196.63,Cash,SalesPerson_49,2022,9,3,Wednesday,13.66267353336319
29,CUST1486,Customer_72,Consumer,2022-07-14,19-07-2022,Standard,East,Assam,Electronics,Mobile,7,836,15.0,4974.2,436.95,Credit Card,SalesPerson_22,2022,7,3,Thursday,8.78432712798038
30,CUST1155,Customer_59,Corporate,2022-03-08,09-03-2022,Same Day,South,Karnataka,Furniture,Table,4,2808,15.0,9547.2,648.14,Credit Card,SalesPerson_9,2022,3,1,Tuesday,6.788796715267304
31,CUST1009,Customer_150,Corporate,2022-03-26,29-03-2022,Same Day,West,Maharashtra,Electronics,Mobile,7,1498,5.0,9961.7,765.27,Net Banking,SalesPerson_23,2022,3,1,Saturday,7.682122529287169
32,CUST1570,Customer_406,Consumer,2023-04-14,21-04-2023,Same Day,North,Delhi,Office Supplies,Pen,2,1122,10.0,2019.6,243.04,Cash,SalesPerson_17,2023,4,2,Friday,12.03406615171321
33,CUST1706,Customer_431,Consumer,2024-05-11,16-05-2024,Express,East,Odisha,Office Supplies,Notebook,7,236,10.0,1486.8,230.39,Cash,SalesPerson_49,2024,5,2,Saturday,15.495695453322572
34,CUST1751,Customer_306,Home Office,2022-01-06,12-01-2022,Same Day,East,West Bengal,Furniture,Desk,10,1433,15.0,12180.5,3751.99,Debit Card,SalesPerson_26,2022,1,1,Thursday,30.803251098066582
35,CUST1266,Customer_374,Consumer,2022-05-25,27-05-2022,Same Day,South,Kerala,Furniture,Table,8,1260,5.0,9576.0,1591.4,Debit Card,SalesPerson_50,2022,5,2,Wednesday,16.618629908103593
36,CUST1936,Customer_131,Corporate,2023-01-30,02-02-2023,Standard,South,Karnataka,Electronics,Laptop,5,596,0.0,2980.0,471.83,UPI,SalesPerson_27,2023,1,1,Monday,15.833221476510067
37,CUST1820,Customer_327,Home Office,2022-07-09,14-07-2022,Express,East,Assam,Office Supplies,Pen,9,595,10.0,4819.5,655.79,Net Banking,SalesPerson_16,2022,7,3,Saturday,13.607013175640626
38,CUST1135,Customer_199,Consumer,2022-01-11,12-01-2022,Express,North,Haryana,Electronics,Headphones,7,1569,5.0,10433.85,3089.3,Debit Card,SalesPerson_16,2022,1,1,Tuesday,29.60843792080584
39,CUST1905,Customer_200,Corporate,2022-01-09,16-01-2022,Standard,West,Maharashtra,Electronics,Mobile,9,1192,15.0,9118.8,915.93,Credit Card,SalesPerson_8,2022,1,1,Sunday,10.044413738649823
40,CUST1681,Customer_75,Corporate,2024-03-17,20-03-2024,Express,North,Haryana,Office Supplies,Notebook,5,1375,10.0,6187.5,2152.75,Debit Card,SalesPerson_28,2024,3,1,Sunday,34.79191919191919
41,CUST1919,Customer_425,Consumer,2023-03-11,15-03-2023,Express,North,Punjab,Electronics,Mobile,3,2828,0.0,8484.0,1823.75,Cash,SalesPerson_13,2023,3,1,Saturday,21.496346063177747
42,CUST1961,Customer_274,Corporate,2024-03-31,05-04-2024,Same Day,West,Rajasthan,Office Supplies,Printer Paper,2,985,0.0,1970.0,358.14,Credit Card,SalesPerson_14,2024,3,1,Sunday,18.17969543147208
43,CUST1186,Customer_330,Home Office,2022-03-14,16-03-2022,Express,North,Haryana,Electronics,Headphones,8,2620,15.0,17816.0,2674.67,Net Banking,SalesPerson_43,2022,3,1,Monday,15.012741356084419
44,CUST1722,Customer_135,Corporate,2022-08-01,02-08-2022,Express,North,Delhi,Electronics,Mobile,10,1336,10.0,12024.0,2441.26,Debit Card,SalesPerson_35,2022,8,3,Monday,20.303226879574186
45,CUST1670,Customer_127,Home Office,2024-12-19,26-12-2024,Same Day,North,Delhi,Office Supplies,Notebook,9,2544,0.0,22896.0,4263.55,Net Banking,SalesPerson_2,2024,12,4,Thursday,18.6213749126485
46,CUST1040,Customer_192,Consumer,2024-02-01,04-02-2024,Same Day,West,Gujarat,Office Supplies,Printer Paper,9,2404,10.0,19472.4,2134.26,Credit Card,SalesPerson_32,2024,2,1,Thursday,10.960436309853948
47,CUST1998,Customer_70,Home Office,2024-02-02,09-02-2024,Same Day,West,Rajasthan,Electronics,Laptop,10,398,5.0,3781.0,839.93,Credit Card,SalesPerson_49,2024,2,1,Friday,22.214493520232743
48,CUST1919,Customer_391,Home Office,2024-09-26,01-10-2024,Express,South,Kerala,Office Supplies,Binder,6,1391,15.0,7094.1,2026.26,UPI,SalesPerson_44,2024,9,3,Thursday,28.56260836469742
49,CUST1143,Customer_76,Home Office,2024-09-11,13-09-2024,Standard,South,Karnataka,Office Supplies,Pen,9,688,10.0,5572.8,1838.96,Net Banking,SalesPerson_48,2024,9,3,Wednesday,32.998851564743035
50,CUST1283,Customer_180,Home Office,2023-01-02,09-01-2023,Same Day,South,Kerala,Office Supplies,Notebook,8,2148,0.0,17184.0,3285.22,Net Banking,SalesPerson_15,2023,1,1,Monday,19.11790037243948
51,CUST1454,Customer_238,Consumer,2022-05-17,21-05-2022,Standard,West,Gujarat,Furniture,Chair,7,1805,0.0,12635.0,4347.57,Credit Card,SalesPerson_46,2022,5,2,Tuesday,34.40894341115948
52,CUST1033,Customer_95,Consumer,2023-12-24,27-12-2023,Same Day,East,West Bengal,Office Supplies,Binder,10,2947,10.0,26523.0,6622.05,Net Banking,SalesPerson_13,2023,12,4,Sunday,24.967198280737474
53,CUST1354,Customer_106,Consumer,2024-08-18,22-08-2024,Standard,North,Punjab,Office Supplies,Notebook,5,1560,10.0,7020.0,1770.74,Cash,SalesPerson_9,2024,8,3,Sunday,25.224216524216526
54,CUST1234,Customer_169,Home Office,2024-11-25,26-11-2024,Express,West,Rajasthan,Furniture,Table,8,362,5.0,2751.2,288.97,Net Banking,SalesPerson_8,2024,11,4,Monday,10.503416690898518
55,CUST1377,Customer_90,Consumer,2024-03-21,22-03-2024,Standard,East,Assam,Furniture,Chair,4,1153,0.0,4612.0,1188.63,Credit Card,SalesPerson_28,2024,3,1,Thursday,25.772549869904598
56,CUST1969,Customer_260,Corporate,2024-07-07,13-07-2024,Express,West,Gujarat,Office Supplies,Pen,7,311,0.0,2177.0,720.27,UPI,SalesPerson_24,2024,7,3,Sunday,33.08543867707855
57,CUST1033,Customer_423,Consumer,2023-12-17,18-12-2023,Express,East,Assam,Electronics,Laptop,1,1920,15.0,1632.0,326.44,UPI,SalesPerson_45,2023,12,4,Sunday,20.002450980392155
58,CUST1858,Customer_80,Consumer,2023-08-11,13-08-2023,Express,East,Assam,Furniture,Sofa,4,2288,0.0,9152.0,2147.88,Debit Card,SalesPerson_45,2023,8,3,Friday,23.46896853146853
59,CUST1457,Customer_238,Corporate,2024-09-01,06-09-2024,Express,South,Tamil Nadu,Electronics,Mobile,8,2075,10.0,14940.0,2880.57,UPI,SalesPerson_6,2024,9,3,Sunday,19.28092369477912
60,CUST1058,Customer_83,Home Office,2024-03-17,24-03-2024,Express,West,Maharashtra,Office Supplies,Printer Paper,7,2419,5.0,16086.35,1929.47,Cash,SalesPerson_29,2024,3,1,Sunday,11.994454926070862
61,CUST1377,Customer_239,Home Office,2023-07-13,18-07-2023,Same Day,South,Tamil Nadu,Electronics,Mobile,7,439,15.0,2612.05,559.8,Debit Card,SalesPerson_11,2023,7,3,Thursday,21.43144273654792
62,CUST1237,Customer_314,Consumer,2023-12-07,13-12-2023,Express,South,Karnataka,Furniture,Table,3,756,15.0,1927.8,251.52,Debit Card,SalesPerson_38,2023,12,4,Thursday,13.046996576408343
63,CUST1637,Customer_341,Consumer,2022-04-11,18-04-2022,Express,East,West Bengal,Office Supplies,Binder,1,840,5.0,798.0,224.64,Credit Card,SalesPerson_7,2022,4,2,Monday,28.15037593984962
64,CUST1569,Customer_269,Consumer,2023-05-14,15-05-2023,Same Day,East,West Bengal,Electronics,Mobile,8,1882,5.0,14303.2,1120.67,Debit Card,SalesPerson_42,2023,5,2,Sunday,7.835099837798534
65,CUST1755,Customer_205,Consumer,2022-07-28,01-08-2022,Same Day,South,Karnataka,Office Supplies,Printer Paper,3,1945,5.0,5543.25,1244.85,Net Banking,SalesPerson_20,2022,7,3,Thursday,22.4570423488026
66,CUST1695,Customer_301,Home Office,2024-06-06,10-06-2024,Standard,South,Kerala,Electronics,Mobile,4,1326,15.0,4508.4,909.48,Debit Card,SalesPerson_34,2024,6,2,Thursday,20.173010380622838
67,CUST1510,Customer_369,Home Office,2022-12-12,14-12-2022,Same Day,West,Rajasthan,Electronics,Laptop,5,2672,5.0,12692.0,3302.93,Net Banking,SalesPerson_15,2022,12,4,Monday,26.023715726441853
68,CUST1988,Customer_78,Home Office,2023-04-20,27-04-2023,Standard,West,Rajasthan,Electronics,Tablet,5,2400,10.0,10800.0,1401.88,Debit Card,SalesPerson_1,2023,4,2,Thursday,12.980370370370373
69,CUST1317,Customer_50,Corporate,2022-07-05,09-07-2022,Same Day,East,Odisha,Electronics,Mobile,8,1423,0.0,11384.0,2058.44,Credit Card,SalesPerson_10,2022,7,3,Tuesday,18.081869290231907
70,CUST1359,Customer_191,Consumer,2023-06-27,30-06-2023,Standard,South,Tamil Nadu,Office Supplies,Binder,5,576,15.0,2448.0,474.79,UPI,SalesPerson_45,2023,6,2,Tuesday,19.39501633986928
71,CUST1182,Customer_124,Consumer,2023-06-06,09-06-2023,Same Day,North,Delhi,Electronics,Tablet,6,1944,15.0,9914.4,1647.97,UPI,SalesPerson_14,2023,6,2,Tuesday,16.62198418462035
72,CUST1586,Customer_188,Corporate,2024-07-16,23-07-2024,Same Day,South,Kerala,Office Supplies,Notebook,7,1623,15.0,9656.85,949.23,Net Banking,SalesPerson_44,2024,7,3,Tuesday,9.8296028207956
73,CUST1730,Customer_314,Corporate,2022-01-12,18-01-2022,Same Day,South,Tamil Nadu,Electronics,Mobile,3,2553,10.0,6893.1,1264.49,Credit Card,SalesPerson_42,2022,1,1,Wednesday,18.344286315300806
74,CUST1186,Customer_252,Consumer,2024-08-12,15-08-2024,Same Day,West,Rajasthan,Electronics,Mobile,1,1162,5.0,1103.9,321.26,Debit Card,SalesPerson_16,2024,8,3,Monday,29.10227375668086
75,CUST1429,Customer_133,Home Office,2024-12-22,24-12-2024,Same Day,South,Kerala,Furniture,Table,9,2043,0.0,18387.0,3024.71,UPI,SalesPerson_9,2024,12,4,Sunday,16.450263773318106
76,CUST1784,Customer_235,Home Office,2022-06-03,05-06-2022,Same Day,West,Rajasthan,Furniture,Chair,6,787,15.0,4013.7,535.15,Net Banking,SalesPerson_40,2022,6,2,Friday,13.333084186660688
77,CUST1878,Customer_319,Home Office,2022-03-24,25-03-2022,Express,South,Karnataka,Furniture,Table,4,521,15.0,1771.4,110.21,Debit Card,SalesPerson_13,2022,3,1,Thursday,6.221632606977531
78,CUST1954,Customer_99,Corporate,2023-03-31,01-04-2023,Express,North,Delhi,Office Supplies,Binder,9,2666,15.0,20394.9,2800.59,Debit Card,SalesPerson_34,2023,3,1,Friday,13.731815306767869
79,CUST1551,Customer_420,Corporate,2023-03-14,21-03-2023,Express,South,Karnataka,Office Supplies,Notebook,5,1245,15.0,5291.25,720.04,Debit Card,SalesPerson_16,2023,3,1,Tuesday,13.608126624143631
80,CUST1729,Customer_385,Consumer,2022-11-09,10-11-2022,Express,East,Assam,Electronics,Tablet,2,2626,15.0,4464.2,1367.4,Cash,SalesPerson_49,2022,11,4,Wednesday,30.630348102683573
81,CUST1990,Customer_441,Corporate,2022-03-27,02-04-2022,Same Day,West,Rajasthan,Office Supplies,Printer Paper,2,801,5.0,1521.9,452.1,Net Banking,SalesPerson_16,2022,3,1,Sunday,29.70628819239109
82,CUST1497,Customer_189,Home Office,2024-06-25,30-06-2024,Same Day,East,West Bengal,Office Supplies,Printer Paper,5,2071,10.0,9319.5,3012.57,UPI,SalesPerson_11,2024,6,2,Tuesday,32.32544664413327
83,CUST1504,Customer_330,Consumer,2024-07-25,29-07-2024,Standard,North,Haryana,Electronics,Mobile,7,302,10.0,1902.6,319.66,UPI,SalesPerson_2,2024,7,3,Thursday,16.80121938400084
84,CUST1596,Customer_264,Corporate,2023-03-06,12-03-2023,Express,South,Karnataka,Office Supplies,Notebook,5,1113,15.0,4730.25,430.64,Debit Card,SalesPerson_1,2023,3,1,Monday,9.103958564557898
85,CUST1688,Customer_201,Corporate,2022-05-11,17-05-2022,Same Day,South,Kerala,Electronics,Mobile,1,2141,10.0,1926.9,291.43,Credit Card,SalesPerson_35,2022,5,2,Wednesday,15.124292905703463
86,CUST1741,Customer_299,Home Office,2023-09-29,05-10-2023,Same Day,West,Rajasthan,Electronics,Headphones,3,1440,5.0,4104.0,645.69,Credit Card,SalesPerson_12,2023,9,3,Friday,15.733187134502923
87,CUST1711,Customer_30,Corporate,2024-06-14,20-06-2024,Standard,East,Odisha,Office Supplies,Pen,1,2138,0.0,2138.0,507.74,Debit Card,SalesPerson_46,2024,6,2,Friday,23.748362956033677
88,CUST1037,Customer_36,Home Office,2022-07-15,17-07-2022,Standard,East,Assam,Electronics,Tablet,4,877,5.0,3332.6,608.89,Net Banking,SalesPerson_22,2022,7,3,Friday,18.270719558302826
89,CUST1111,Customer_237,Consumer,2022-10-10,16-10-2022,Same Day,South,Kerala,Furniture,Table,10,2845,5.0,27027.5,2283.54,UPI,SalesPerson_43,2022,10,4,Monday,8.44895014337249
90,CUST1168,Customer_44,Corporate,2022-05-29,31-05-2022,Same Day,West,Rajasthan,Office Supplies,Notebook,9,673,5.0,5754.15,672.6,UPI,SalesPerson_7,2022,5,2,Sunday,11.68895492818227
91,CUST1319,Customer_8,Consumer,2023-05-11,13-05-2023,Same Day,North,Haryana,Furniture,Sofa,6,573,5.0,3266.1,667.03,UPI,SalesPerson_6,2023,5,2,Thursday,20.422828449833133
92,CUST1497,Customer_20,Consumer,2024-12-01,07-12-2024,Standard,West,Maharashtra,Furniture,Sofa,8,2632,5.0,20003.2,4334.93,Credit Card,SalesPerson_7,2024,12,4,Sunday,21.671182610782274
93,CUST1745,Customer_464,Consumer,2024-08-27,31-08-2024,Standard,South,Kerala,Office Supplies,Pen,9,2817,5.0,24085.35,8155.18,Cash,SalesPerson_11,2024,8,3,Tuesday,33.859503806255674
94,CUST1681,Customer_374,Home Office,2023-09-12,19-09-2023,Express,East,West Bengal,Furniture,Chair,2,1224,0.0,2448.0,314.69,UPI,SalesPerson_8,2023,9,3,Tuesday,12.85498366013072
95,CUST1647,Customer_330,Home Office,2022-09-16,20-09-2022,Express,South,Kerala,Office Supplies,Printer Paper,9,2399,10.0,19431.9,6124.86,Debit Card,SalesPerson_13,2022,9,3,Friday,31.519614654254084
96,CUST1716,Customer_200,Corporate,2023-04-05,12-04-2023,Express,West,Gujarat,Electronics,Laptop,8,1116,15.0,7588.8,1278.99,Cash,SalesPerson_49,2023,4,2,Wednesday,16.85365275142315
97,CUST1142,Customer_246,Corporate,2024-12-28,03-01-2025,Standard,East,Assam,Office Supplies,Pen,9,540,15.0,4131.0,1052.97,Net Banking,SalesPerson_47,2024,12,4,Saturday,25.489469862018883
98,CUST1323,Customer_475,Home Office,2022-09-06,13-09-2022,Express,East,West Bengal,Electronics,Laptop,2,2607,10.0,4692.6,710.27,UPI,SalesPerson_6,2022,9,3,Tuesday,15.13595874355368
99,CUST1864,Customer_115,Corporate,2023-05-21,28-05-2023,Express,North,Haryana,Furniture,Sofa,7,2684,0.0,18788.0,2415.75,Cash,SalesPerson_14,2023,5,2,Sunday,12.85794123908878
100,CUST1188,Customer_146,Consumer,2024-07-24,25-07-2024,Express,South,Karnataka,Office Supplies,Notebook,9,2903,10.0,23514.3,2102.87,UPI,SalesPerson_16,2024,7,3,Wednesday,8.942941103923994
101,CUST1227,Customer_225,Corporate,2024-05-06,12-05-2024,Standard,West,Maharashtra,Electronics,Tablet,9,2628,0.0,23652.0,7275.03,UPI,SalesPerson_20,2024,5,2,Monday,30.758625063419583
102,CUST1862,Customer_497,Consumer,2023-09-06,13-09-2023,Express,North,Haryana,Electronics,Headphones,4,100,0.0,400.0,63.71,Cash,SalesPerson_5,2023,9,3,Wednesday,15.9275
103,CUST1566,Customer_438,Home Office,2023-02-01,08-02-2023,Same Day,West,Maharashtra,Electronics,Mobile,2,694,5.0,1318.6,446.73,Cash,SalesPerson_1,2023,2,1,Wednesday,33.879114212043085
104,CUST1096,Customer_13,Home Office,2022-05-02,03-05-2022,Same Day,South,Tamil Nadu,Furniture,Sofa,3,2941,15.0,7499.55,2338.53,UPI,SalesPerson_14,2022,5,2,Monday,31.182270936256177
105,CUST1299,Customer_403,Consumer,2024-02-25,01-03-2024,Express,East,Assam,Office Supplies,Pen,9,844,5.0,7216.2,793.91,Credit Card,SalesPerson_26,2024,2,1,Sunday,11.001773786757573
106,CUST1483,Customer_360,Corporate,2022-10-13,16-10-2022,Standard,West,Rajasthan,Furniture,Sofa,3,559,5.0,1593.15,463.21,Debit Card,SalesPerson_24,2022,10,4,Thursday,29.07510278379311
107,CUST1211,Customer_438,Corporate,2022-02-17,19-02-2022,Standard,East,Odisha,Office Supplies,Binder,1,2992,15.0,2543.2,473.58,Cash,SalesPerson_36,2022,2,1,Thursday,18.621421830764394
108,CUST1422,Customer_147,Home Office,2024-02-11,14-02-2024,Same Day,North,Haryana,Electronics,Mobile,1,998,5.0,948.1,96.73,Debit Card,SalesPerson_38,2024,2,1,Sunday,10.202510283725346
109,CUST1416,Customer_498,Home Office,2022-07-31,01-08-2022,Same Day,East,Assam,Furniture,Table,2,158,10.0,284.4,71.11,UPI,SalesPerson_37,2022,7,3,Sunday,25.00351617440225
110,CUST1922,Customer_376,Consumer,2023-09-28,02-10-2023,Same Day,West,Gujarat,Electronics,Mobile,2,1869,0.0,3738.0,594.0,Credit Card,SalesPerson_27,2023,9,3,Thursday,15.890850722311397
111,CUST1172,Customer_267,Corporate,2022-12-22,27-12-2022,Same Day,North,Delhi,Furniture,Sofa,10,1188,5.0,11286.0,1608.23,Credit Card,SalesPerson_20,2022,12,4,Thursday,14.249778486620594
112,CUST1965,Customer_133,Consumer,2023-08-12,15-08-2023,Same Day,West,Maharashtra,Office Supplies,Pen,9,345,10.0,2794.5,751.0,Debit Card,SalesPerson_3,2023,8,3,Saturday,26.874217212381463
113,CUST1278,Customer_320,Consumer,2024-12-26,31-12-2024,Same Day,West,Rajasthan,Electronics,Mobile,5,1186,10.0,5337.0,1141.93,Debit Card,SalesPerson_14,2024,12,4,Thursday,21.396477421772534
114,CUST1346,Customer_146,Home Office,2024-07-28,01-08-2024,Same Day,South,Karnataka,Electronics,Tablet,7,2630,15.0,15648.5,1028.25,Credit Card,SalesPerson_13,2024,7,3,Sunday,6.5709173403201575
115,CUST1994,Customer_376,Consumer,2024-09-11,13-09-2024,Standard,East,Assam,Furniture,Sofa,6,2352,10.0,12700.8,3948.22,Cash,SalesPerson_12,2024,9,3,Wednesday,31.086388259007308
116,CUST1768,Customer_441,Home Office,2023-10-31,03-11-2023,Same Day,South,Kerala,Office Supplies,Printer Paper,4,2035,10.0,7326.0,1921.7,Debit Card,SalesPerson_21,2023,10,4,Tuesday,26.231231231231234
117,CUST1660,Customer_52,Corporate,2024-10-06,13-10-2024,Same Day,East,Assam,Furniture,Sofa,8,2101,0.0,16808.0,3796.9,Debit Card,SalesPerson_35,2024,10,4,Sunday,22.589838172298908
118,CUST1984,Customer_345,Home Office,2023-08-20,24-08-2023,Express,North,Punjab,Furniture,Chair,2,827,15.0,1405.9,220.99,Credit Card,SalesPerson_41,2023,8,3,Sunday,15.718756668326339
119,CUST1178,Customer_264,Consumer,2023-03-16,19-03-2023,Standard,North,Punjab,Electronics,Headphones,1,2992,15.0,2543.2,857.36,Debit Card,SalesPerson_34,2023,3,1,Thursday,33.711859075180875
120,CUST1037,Customer_276,Home Office,2022-11-24,26-11-2022,Standard,North,Haryana,Office Supplies,Pen,9,745,0.0,6705.0,829.37,Net Banking,SalesPerson_25,2022,11,4,Thursday,12.369425801640567
121,CUST1625,Customer_445,Consumer,2023-12-08,10-12-2023,Same Day,East,West Bengal,Electronics,Headphones,4,2224,0.0,8896.0,2614.61,Cash,SalesPerson_5,2023,12,4,Friday,29.390849820143888
122,CUST1233,Customer_34,Home Office,2022-02-06,11-02-2022,Standard,North,Punjab,Electronics,Headphones,9,1779,15.0,13609.35,902.28,Credit Card,SalesPerson_25,2022,2,1,Sunday,6.6298537402594535
123,CUST1094,Customer_68,Corporate,2023-01-23,25-01-2023,Express,North,Punjab,Office Supplies,Pen,7,2018,15.0,12007.1,2344.05,Debit Card,SalesPerson_8,2023,1,1,Monday,19.522199365375485
124,CUST1771,Customer_396,Corporate,2024-05-18,21-05-2024,Same Day,South,Tamil Nadu,Furniture,Sofa,3,1549,0.0,4647.0,1125.36,Credit Card,SalesPerson_30,2024,5,2,Saturday,24.216914138153644
125,CUST1188,Customer_213,Corporate,2024-11-28,01-12-2024,Same Day,East,Odisha,Office Supplies,Binder,10,411,10.0,3699.0,1182.17,Net Banking,SalesPerson_47,2024,11,4,Thursday,31.95917815625845
126,CUST1386,Customer_42,Corporate,2024-07-11,16-07-2024,Express,East,Odisha,Furniture,Table,4,2467,15.0,8387.8,1265.04,Debit Card,SalesPerson_13,2024,7,3,Thursday,15.081904671069887
127,CUST1340,Customer_32,Consumer,2022-06-05,07-06-2022,Express,East,Assam,Office Supplies,Binder,1,2056,5.0,1953.2,360.3,Credit Card,SalesPerson_20,2022,6,2,Sunday,18.446651648576694
