Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,Region,State,Category,Product,Quantity,Unit Price,Discount (%),Sales,Profit,Payment Mode,Sales Person
33,CUST1706,Customer_431,Consumer,11-05-2024,16-05-2024,Express,East,Odisha,Office Supplies,Notebook,7,236,10,1486.8,230.39,Cash,SalesPerson_49
34,CUST1751,Customer_306,Home Office,06-01-2022,12-01-2022,Same Day,East,West Bengal,Furniture,Desk,10,1433,15,12180.5,3751.99,Debit Card,SalesPerson_26
35,CUST1266,Customer_374,Consumer,25-05-2022,27-05-2022,Same Day,South,Kerala,Furniture,Table,8,1260,5,9576,1591.4,Debit Card,SalesPerson_50
36,CUST1936,Customer_131,Corporate,30-01-2023,02-02-2023,Standard,South,Karnataka,Electronics,Laptop,5,596,0,2980,471.83,UPI,SalesPerson_27
37,CUST1820,Customer_327,Home Office,09-07-2022,14-07-2022,Express,East,Assam,Office Supplies,Pen,9,595,10,4819.5,655.79,Net Banking,SalesPerson_16
38,CUST1135,Customer_199,Consumer,11-01-2022,12-01-2022,Express,North,Haryana,Electronics,Headphones,7,1569,5,10433.85,3089.3,Debit Card,SalesPerson_16
39,CUST1905,Customer_200,Corporate,09-01-2022,16-01-2022,Standard,West,Maharashtra,Electronics,Mobile,9,1192,15,9118.8,915.93,Credit Card,SalesPerson_8
40,CUST1681,Customer_75,Corporate,17-03-2024,20-03-2024,Express,North,Haryana,Office Supplies,Notebook,5,1375,10,6187.5,2152.75,Debit Card,SalesPerson_28
41,CUST1919,Customer_425,Consumer,11-03-2023,15-03-2023,Express,North,Punjab,Electronics,Mobile,3,2828,0,8484,1823.75,Cash,SalesPerson_13
42,CUST1961,Customer_274,Corporate,31-03-2024,05-04-2024,Same Day,West,Rajasthan,Office Supplies,Printer Paper,2,985,0,1970,358.14,Credit Card,SalesPerson_14
43,CUST1186,Customer_330,Home Office,14-03-2022,16-03-2022,Express,North,Haryana,Electronics,Headphones,8,2620,15,17816,2674.67,Net Banking,SalesPerson_43
44,CUST1722,Customer_135,Corporate,01-08-2022,02-08-2022,Express,North,Delhi,Electronics,Mobile,10,1336,10,12024,2441.26,Debit Card,SalesPerson_35
45,CUST1670,Customer_127,Home Office,19-12-2024,26-12-2024,Same Day,North,Delhi,Office Supplies,Notebook,9,2544,0,22896,4263.55,Net Banking,SalesPerson_2
46,CUST1040,Customer_192,Consumer,01-02-2024,04-02-2024,Same Day,West,Gujarat,Office Supplies,Printer Paper,9,2404,10,19472.4,2134.26,Credit Card,SalesPerson_32
47,CUST1998,Customer_70,Home Office,02-02-2024,09-02-2024,Same Day,West,Rajasthan,Electronics,Laptop,10,398,5,3781,839.93,Credit Card,SalesPerson_49
48,CUST1919,Customer_391,Home Office,26-09-2024,01-10-2024,Express,South,Kerala,Office Supplies,Binder,6,1391,15,7094.1,2026.26,UPI,SalesPerson_44
49,CUST1143,Customer_76,Home Office,11-09-2024,13-09-2024,Standard,South,Karnataka,Office Supplies,Pen,9,688,10,5572.8,1838.96,Net Banking,SalesPerson_48
50,CUST1283,Customer_180,Home Office,02-01-2023,09-01-2023,Same Day,South,Kerala,Office Supplies,Notebook,8,2148,0,17184,3285.22,Net Banking,SalesPerson_15
51,CUST1454,Customer_238,Consumer,17-05-2022,21-05-2022,Standard,West,Gujarat,Furniture,Chair,7,1805,0,12635,4347.57,Credit Card,SalesPerson_46
52,CUST1033,Customer_95,Consumer,24-12-2023,27-12-2023,Same Day,East,West Bengal,Office Supplies,Binder,10,2947,10,26523,6622.05,Net Banking,SalesPerson_13
53,CUST1354,Customer_106,Consumer,18-08-2024,22-08-2024,Standard,North,Punjab,Office Supplies,Notebook,5,1560,10,7020,1770.74,Cash,SalesPerson_9
54,CUST1234,Customer_169,Home Office,25-11-2024,26-11-2024,Express,West,Rajasthan,Furniture,Table,8,362,5,2751.2,288.97,Net Banking,SalesPerson_8
55,CUST1377,Customer_90,Consumer,21-03-2024,22-03-2024,Standard,East,Assam,Furniture,Chair,4,1153,0,4612,1188.63,Credit Card,SalesPerson_28
56,CUST1969,Customer_260,Corporate,07-07-2024,13-07-2024,Express,West,Gujarat,Office Supplies,Pen,7,311,0,2177,720.27,UPI,SalesPerson_24
57,CUST1033,Customer_423,Consumer,17-12-2023,18-12-2023,Express,East,Assam,Electronics,Laptop,1,1920,15,1632,326.44,UPI,SalesPerson_45
58,CUST1858,Customer_80,Consumer,11-08-2023,13-08-2023,Express,East,Assam,Furniture,Sofa,4,2288,0,9152,2147.88,Debit Card,SalesPerson_45
59,CUST1457,Customer_238,Corporate,01-09-2024,06-09-2024,Express,South,Tamil Nadu,Electronics,Mobile,8,2075,10,14940,2880.57,UPI,SalesPerson_6
60,CUST1058,Customer_83,Home Office,17-03-2024,24-03-2024,Express,West,Maharashtra,Office Supplies,Printer Paper,7,2419,5,16086.35,1929.47,Cash,SalesPerson_29
61,CUST1377,Customer_239,Home Office,13-07-2023,18-07-2023,Same Day,South,Tamil Nadu,Electronics,Mobile,7,439,15,2612.05,559.8,Debit Card,SalesPerson_11
62,CUST1237,Customer_314,Consumer,07-12-2023,13-12-2023,Express,South,Karnataka,Furniture,Table,3,756,15,1927.8,251.52,Debit Card,SalesPerson_38
63,CUST1637,Customer_341,Consumer,11-04-2022,18-04-2022,Express,East,West Bengal,Office Supplies,Binder,1,840,5,798,224.64,Credit Card,SalesPerson_7
64,CUST1569,Customer_269,Consumer,14-05-2023,15-05-2023,Same Day,East,West Bengal,Electronics,Mobile,8,1882,5,14303.2,1120.67,Debit Card,SalesPerson_42
65,CUST1755,Customer_205,Consumer,28-07-2022,01-08-2022,Same Day,South,Karnataka,Office Supplies,Printer Paper,3,1945,5,5543.25,1244.85,Net Banking,SalesPerson_20
66,CUST1695,Customer_301,Home Office,06-06-2024,10-06-2024,Standard,South,Kerala,Electronics,Mobile,4,1326,15,4508.4,909.48,Debit Card,SalesPerson_34
67,CUST1510,Customer_369,Home Office,12-12-2022,14-12-2022,Same Day,West,Rajasthan,Electronics,Laptop,5,2672,5,12692,3302.93,Net Banking,SalesPerson_15
68,CUST1988,Customer_78,Home Office,20-04-2023,27-04-2023,Standard,West,Rajasthan,Electronics,Tablet,5,2400,10,10800,1401.88,Debit Card,SalesPerson_1
69,CUST1317,Customer_50,Corporate,05-07-2022,09-07-2022,Same Day,East,Odisha,Electronics,Mobile,8,1423,0,11384,2058.44,Credit Card,SalesPerson_10
70,CUST1359,Customer_191,Consumer,27-06-2023,30-06-2023,Standard,South,Tamil Nadu,Office Supplies,Binder,5,576,15,2448,474.79,UPI,SalesPerson_45
71,CUST1182,Customer_124,Consumer,06-06-2023,09-06-2023,Same Day,North,Delhi,Electronics,Tablet,6,1944,15,9914.4,1647.97,UPI,SalesPerson_14
72,CUST1586,Customer_188,Corporate,16-07-2024,23-07-2024,Same Day,South,Kerala,Office Supplies,Notebook,7,1623,15,9656.85,949.23,Net Banking,SalesPerson_44
73,CUST1730,Customer_314,Corporate,12-01-2022,18-01-2022,Same Day,South,Tamil Nadu,Electronics,Mobile,3,2553,10,6893.1,1264.49,Credit Card,SalesPerson_42
74,CUST1186,Customer_252,Consumer,12-08-2024,15-08-2024,Same Day,West,Rajasthan,Electronics,Mobile,1,1162,5,1103.9,321.26,Debit Card,SalesPerson_16
75,CUST1429,Customer_133,Home Office,22-12-2024,24-12-2024,Same Day,South,Kerala,Furniture,Table,9,2043,0,18387,3024.71,UPI,SalesPerson_9
76,CUST1784,Customer_235,Home Office,03-06-2022,05-06-2022,Same Day,West,Rajasthan,Furniture,Chair,6,787,15,4013.7,535.15,Net Banking,SalesPerson_40
77,CUST1878,Customer_319,Home Office,24-03-2022,25-03-2022,Express,South,Karnataka,Furniture,Table,4,521,15,1771.4,110.21,Debit Card,SalesPerson_13
78,CUST1954,Customer_99,Corporate,31-03-2023,01-04-2023,Express,North,Delhi,Office Supplies,Binder,9,2666,15,20394.9,2800.59,Debit Card,SalesPerson_34
79,CUST1551,Customer_420,Corporate,14-03-2023,21-03-2023,Express,South,Karnataka,Office Supplies,Notebook,5,1245,15,5291.25,720.04,Debit Card,SalesPerson_16
80,CUST1729,Customer_385,Consumer,09-11-2022,10-11-2022,Express,East,Assam,Electronics,Tablet,2,2626,15,4464.2,1367.4,Cash,SalesPerson_49
81,CUST1990,Customer_441,Corporate,27-03-2022,02-04-2022,Same Day,West,Rajasthan,Office Supplies,Printer Paper,2,801,5,1521.9,452.1,Net Banking,SalesPerson_16
82,CUST1497,Customer_189,Home Office,25-06-2024,30-06-2024,Same Day,East,West Bengal,Office Supplies,Printer Paper,5,2071,10,9319.5,3012.57,UPI,SalesPerson_11
83,CUST1504,Customer_330,Consumer,25-07-2024,29-07-2024,Standard,North,Haryana,Electronics,Mobile,7,302,10,1902.6,319.66,UPI,SalesPerson_2
84,CUST1596,Customer_264,Corporate,06-03-2023,12-03-2023,Express,South,Karnataka,Office Supplies,Notebook,5,1113,15,4730.25,430.64,Debit Card,SalesPerson_1
85,CUST1688,Customer_201,Corporate,11-05-2022,17-05-2022,Same Day,South,Kerala,Electronics,Mobile,1,2141,10,1926.9,291.43,Credit Card,SalesPerson_35
86,CUST1741,Customer_299,Home Office,29-09-2023,05-10-2023,Same Day,West,Rajasthan,Electronics,Headphones,3,1440,5,4104,645.69,Credit Card,SalesPerson_12
87,CUST1711,Customer_30,Corporate,14-06-2024,20-06-2024,Standard,East,Odisha,Office Supplies,Pen,1,2138,0,2138,507.74,Debit Card,SalesPerson_46
88,CUST1037,Customer_36,Home Office,15-07-2022,17-07-2022,Standard,East,Assam,Electronics,Tablet,4,877,5,3332.6,608.89,Net Banking,SalesPerson_22
89,CUST1111,Customer_237,Consumer,10-10-2022,16-10-2022,Same Day,South,Kerala,Furniture,Table,10,2845,5,27027.5,2283.54,UPI,SalesPerson_43
90,CUST1168,Customer_44,Corporate,29-05-2022,31-05-2022,Same Day,West,Rajasthan,Office Supplies,Notebook,9,673,5,5754.15,672.6,UPI,SalesPerson_7
91,CUST1319,Customer_8,Consumer,11-05-2023,13-05-2023,Same Day,North,Haryana,Furniture,Sofa,6,573,5,3266.1,667.03,UPI,SalesPerson_6
92,CUST1497,Customer_20,Consumer,01-12-2024,07-12-2024,Standard,West,Maharashtra,Furniture,Sofa,8,2632,5,20003.2,4334.93,Credit Card,SalesPerson_7
93,CUST1745,Customer_464,Consumer,27-08-2024,31-08-2024,Standard,South,Kerala,Office Supplies,Pen,9,2817,5,24085.35,8155.18,Cash,SalesPerson_11
94,CUST1681,Customer_374,Home Office,12-09-2023,19-09-2023,Express,East,West Bengal,Furniture,Chair,2,1224,0,2448,314.69,UPI,SalesPerson_8
95,CUST1647,Customer_330,Home Office,16-09-2022,20-09-2022,Express,South,Kerala,Office Supplies,Printer Paper,9,2399,10,19431.9,6124.86,Debit Card,SalesPerson_13
96,CUST1716,Customer_200,Corporate,05-04-2023,12-04-2023,Express,West,Gujarat,Electronics,Laptop,8,1116,15,7588.8,1278.99,Cash,SalesPerson_49
97,CUST1142,Customer_246,Corporate,28-12-2024,03-01-2025,Standard,East,Assam,Office Supplies,Pen,9,540,15,4131,1052.97,Net Banking,SalesPerson_47
98,CUST1323,Customer_475,Home Office,06-09-2022,13-09-2022,Express,East,West Bengal,Electronics,Laptop,2,2607,10,4692.6,710.27,UPI,SalesPerson_6
99,CUST1864,Customer_115,Corporate,21-05-2023,28-05-2023,Express,North,Haryana,Furniture,Sofa,7,2684,0,18788,2415.75,Cash,SalesPerson_14
100,CUST1188,Customer_146,Consumer,24-07-2024,25-07-2024,Express,South,Karnataka,Office Supplies,Notebook,9,2903,10,23514.3,2102.87,UPI,SalesPerson_16
101,CUST1227,Customer_225,Corporate,06-05-2024,12-05-2024,Standard,West,Maharashtra,Electronics,Tablet,9,2628,0,23652,7275.03,UPI,SalesPerson_20
102,CUST1862,Customer_497,Consumer,06-09-2023,13-09-2023,Express,North,Haryana,Electronics,Headphones,4,100,0,400,63.71,Cash,SalesPerson_5
103,CUST1566,Customer_438,Home Office,01-02-2023,08-02-2023,Same Day,West,Maharashtra,Electronics,Mobile,2,694,5,1318.6,446.73,Cash,SalesPerson_1
104,CUST1096,Customer_13,Home Office,02-05-2022,03-05-2022,Same Day,South,Tamil Nadu,Furniture,Sofa,3,2941,15,7499.55,2338.53,UPI,SalesPerson_14
105,CUST1299,Customer_403,Consumer,25-02-2024,01-03-2024,Express,East,Assam,Office Supplies,Pen,9,844,5,7216.2,793.91,Credit Card,SalesPerson_26
106,CUST1483,Customer_360,Corporate,13-10-2022,16-10-2022,Standard,West,Rajasthan,Furniture,Sofa,3,559,5,1593.15,463.21,Debit Card,SalesPerson_24
107,CUST1211,Customer_438,Corporate,17-02-2022,19-02-2022,Standard,East,Odisha,Office Supplies,Binder,1,2992,15,2543.2,473.58,Cash,SalesPerson_36
108,CUST1422,Customer_147,Home Office,11-02-2024,14-02-2024,Same Day,North,Haryana,Electronics,Mobile,1,998,5,948.1,96.73,Debit Card,SalesPerson_38
109,CUST1416,Customer_498,Home Office,31-07-2022,01-08-2022,Same Day,East,Assam,Furniture,Table,2,158,10,284.4,71.11,UPI,SalesPerson_37
110,CUST1922,Customer_376,Consumer,28-09-2023,02-10-2023,Same Day,West,Gujarat,Electronics,Mobile,2,1869,0,3738,594,Credit Card,SalesPerson_27
111,CUST1172,Customer_267,Corporate,22-12-2022,27-12-2022,Same Day,North,Delhi,Furniture,Sofa,10,1188,5,11286,1608.23,Credit Card,SalesPerson_20
112,CUST1965,Customer_133,Consumer,12-08-2023,15-08-2023,Same Day,West,Maharashtra,Office Supplies,Pen,9,345,10,2794.5,751,Debit Card,SalesPerson_3
113,CUST1278,Customer_320,Consumer,26-12-2024,31-12-2024,Same Day,West,Rajasthan,Electronics,Mobile,5,1186,10,5337,1141.93,Debit Card,SalesPerson_14
114,CUST1346,Customer_146,Home Office,28-07-2024,01-08-2024,Same Day,South,Karnataka,Electronics,Tablet,7,2630,15,15648.5,1028.25,Credit Card,SalesPerson_13
115,CUST1994,Customer_376,Consumer,11-09-2024,13-09-2024,Standard,East,Assam,Furniture,Sofa,6,2352,10,12700.8,3948.22,Cash,SalesPerson_12
116,CUST1768,Customer_441,Home Office,31-10-2023,03-11-2023,Same Day,South,Kerala,Office Supplies,Printer Paper,4,2035,10,7326,1921.7,Debit Card,SalesPerson_21
117,CUST1660,Customer_52,Corporate,06-10-2024,13-10-2024,Same Day,East,Assam,Furniture,Sofa,8,2101,0,16808,3796.9,Debit Card,SalesPerson_35
118,CUST1984,Customer_345,Home Office,20-08-2023,24-08-2023,Express,North,Punjab,Furniture,Chair,2,827,15,1405.9,220.99,Credit Card,SalesPerson_41
119,CUST1178,Customer_264,Consumer,16-03-2023,19-03-2023,Standard,North,Punjab,Electronics,Headphones,1,2992,15,2543.2,857.36,Debit Card,SalesPerson_34
120,CUST1037,Customer_276,Home Office,24-11-2022,26-11-2022,Standard,North,Haryana,Office Supplies,Pen,9,745,0,6705,829.37,Net Banking,SalesPerson_25
121,CUST1625,Customer_445,Consumer,08-12-2023,10-12-2023,Same Day,East,West Bengal,Electronics,Headphones,4,2224,0,8896,2614.61,Cash,SalesPerson_5
122,CUST1233,Customer_34,Home Office,06-02-2022,11-02-2022,Standard,North,Punjab,Electronics,Headphones,9,1779,15,13609.35,902.28,Credit Card,SalesPerson_25
123,CUST1094,Customer_68,Corporate,23-01-2023,25-01-2023,Express,North,Punjab,Office Supplies,Pen,7,2018,15,12007.1,2344.05,Debit Card,SalesPerson_8
124,CUST1771,Customer_396,Corporate,18-05-2024,21-05-2024,Same Day,South,Tamil Nadu,Furniture,Sofa,3,1549,0,4647,1125.36,Credit Card,SalesPerson_30
125,CUST1188,Customer_213,Corporate,28-11-2024,01-12-2024,Same Day,East,Odisha,Office Supplies,Binder,10,411,10,3699,1182.17,Net Banking,SalesPerson_47
126,CUST1386,Customer_42,Corporate,11-07-2024,16-07-2024,Express,East,Odisha,Furniture,Table,4,2467,15,8387.8,1265.04,Debit Card,SalesPerson_13
127,CUST1340,Customer_32,Consumer,05-06-2022,07-06-2022,Express,East,Assam,Office Supplies,Binder,1,2056,5,1953.2,360.3,Credit Card,SalesPerson_20
128,CUST1155,Customer_467,Home Office,11-07-2022,15-07-2022,Standard,South,Tamil Nadu,Electronics,Tablet,3,2798,0,8394,2301.78,UPI,SalesPerson_22
129,CUST1143,Customer_390,Corporate,22-11-2024,24-11-2024,Express,West,Gujarat,Furniture,Desk,9,451,10,3653.1,1110.18,Cash,SalesPerson_44
130,CUST1952,Customer_333,Home Office,10-04-2022,11-04-2022,Standard,North,Delhi,Office Supplies,Binder,1,1044,5,991.8,162.49,UPI,SalesPerson_28
131,CUST1364,Customer_297,Corporate,29-08-2022,01-09-2022,Express,North,Delhi,Office Supplies,Notebook,3,1503,10,4058.1,1082.83,Cash,SalesPerson_30
132,CUST1347,Customer_176,Corporate,02-07-2023,07-07-2023,Standard,North,Delhi,Furniture,Sofa,1,922,10,829.8,146.31,Debit Card,SalesPerson_11
133,CUST1375,Customer_385,Home Office,28-11-2023,01-12-2023,Same Day,South,Tamil Nadu,Furniture,Sofa,9,2325,10,18832.5,2379.14,Debit Card,SalesPerson_4
134,CUST1128,Customer_106,Consumer,06-02-2024,12-02-2024,Same Day,North,Delhi,Furniture,Chair,3,2734,0,8202,575.99,Net Banking,SalesPerson_11
135,CUST1114,Customer_202,Home Office,14-07-2022,21-07-2022,Same Day,South,Kerala,Office Supplies,Pen,1,2566,5,2437.7,247.29,Debit Card,SalesPerson_40
136,CUST1773,Customer_196,Corporate,09-02-2023,13-02-2023,Express,South,Karnataka,Electronics,Headphones,6,1087,0,6522,1621.2,UPI,SalesPerson_40
137,CUST1909,Customer_245,Home Office,18-03-2022,19-03-2022,Same Day,North,Haryana,Office Supplies,Printer Paper,10,2299,15,19541.5,2542.25,Cash,SalesPerson_21
138,CUST1031,Customer_210,Home Office,22-02-2024,28-02-2024,Standard,North,Punjab,Furniture,Desk,8,1166,10,8395.2,2545.32,Debit Card,SalesPerson_29
139,CUST1673,Customer_188,Home Office,19-01-2022,23-01-2022,Same Day,West,Rajasthan,Office Supplies,Notebook,7,2687,15,15987.65,3625.16,Net Banking,SalesPerson_35
140,CUST1889,Customer_389,Home Office,13-01-2024,20-01-2024,Express,East,Odisha,Office Supplies,Printer Paper,9,1427,10,11558.7,2388.88,Debit Card,SalesPerson_49
141,CUST1866,Customer_42,Corporate,22-11-2022,27-11-2022,Express,North,Haryana,Electronics,Tablet,2,2620,15,4454,1170.26,Cash,SalesPerson_7
142,CUST1564,Customer_389,Corporate,21-06-2023,26-06-2023,Standard,South,Kerala,Furniture,Sofa,1,2046,10,1841.4,635.58,Net Banking,SalesPerson_48
143,CUST1137,Customer_294,Consumer,25-04-2022,02-05-2022,Express,North,Haryana,Office Supplies,Binder,2,2262,10,4071.6,402.19,Net Banking,SalesPerson_6
144,CUST1612,Customer_111,Home Office,03-01-2024,10-01-2024,Express,North,Delhi,Furniture,Sofa,8,2675,0,21400,4818.93,Debit Card,SalesPerson_22
145,CUST1103,Customer_191,Home Office,24-05-2022,30-05-2022,Express,East,Assam,Office Supplies,Binder,7,1038,10,6539.4,1632.41,UPI,SalesPerson_39
146,CUST1597,Customer_206,Consumer,05-08-2023,07-08-2023,Express,East,West Bengal,Electronics,Headphones,2,1331,5,2528.9,815.64,Credit Card,SalesPerson_42
147,CUST1561,Customer_104,Corporate,21-05-2023,25-05-2023,Express,West,Maharashtra,Electronics,Mobile,10,1299,10,11691,1998.1,Net Banking,SalesPerson_38
148,CUST1224,Customer_65,Home Office,08-10-2024,10-10-2024,Express,West,Rajasthan,Furniture,Table,8,404,15,2747.2,533.42,Cash,SalesPerson_30
149,CUST1072,Customer_304,Corporate,29-11-2024,03-12-2024,Standard,East,West Bengal,Furniture,Sofa,8,2423,0,19384,2908.73,Credit Card,SalesPerson_2
150,CUST1934,Customer_386,Consumer,15-08-2022,18-08-2022,Same Day,South,Karnataka,Office Supplies,Pen,3,2591,0,7773,2043.93,Net Banking,SalesPerson_41
151,CUST1921,Customer_369,Consumer,26-06-2022,30-06-2022,Same Day,East,West Bengal,Electronics,Tablet,8,810,0,6480,470.94,UPI,SalesPerson_48
152,CUST1855,Customer_48,Consumer,16-12-2022,22-12-2022,Standard,North,Punjab,Electronics,Mobile,6,393,10,2122.2,422.68,Cash,SalesPerson_22
153,CUST1143,Customer_326,Consumer,21-03-2024,25-03-2024,Express,West,Maharashtra,Electronics,Tablet,2,1073,5,2038.7,275.82,Net Banking,SalesPerson_45
154,CUST1789,Customer_253,Consumer,19-05-2024,26-05-2024,Express,South,Tamil Nadu,Furniture,Sofa,7,2533,10,15957.9,3602.61,UPI,SalesPerson_25
155,CUST1879,Customer_199,Consumer,06-10-2023,09-10-2023,Standard,North,Punjab,Furniture,Sofa,5,1725,5,8193.75,1014.27,Cash,SalesPerson_16
156,CUST1923,Customer_397,Corporate,11-12-2022,15-12-2022,Express,East,Assam,Electronics,Headphones,6,1177,15,6002.7,801.6,Net Banking,SalesPerson_38
157,CUST1778,Customer_93,Consumer,02-08-2022,05-08-2022,Standard,North,Haryana,Office Supplies,Notebook,9,2539,5,21708.45,1406.14,Net Banking,SalesPerson_5
158,CUST1050,Customer_368,Corporate,11-09-2024,12-09-2024,Express,West,Rajasthan,Office Supplies,Printer Paper,3,2829,10,7638.3,1629.85,Debit Card,SalesPerson_21
159,CUST1284,Customer_435,Home Office,02-01-2022,06-01-2022,Same Day,East,Assam,Furniture,Sofa,4,2135,0,8540,1907.09,Debit Card,SalesPerson_10
160,CUST1233,Customer_328,Home Office,05-06-2023,06-06-2023,Express,North,Punjab,Furniture,Sofa,3,2743,5,7817.55,1711.71,Cash,SalesPerson_49
161,CUST1157,Customer_227,Consumer,29-01-2022,03-02-2022,Same Day,North,Haryana,Office Supplies,Notebook,10,1844,15,15674,2411.23,UPI,SalesPerson_9
162,CUST1328,Customer_272,Consumer,27-10-2023,31-10-2023,Standard,South,Tamil Nadu,Office Supplies,Notebook,4,1208,0,4832,1441.14,Net Banking,SalesPerson_17
